Body Id,Platform,Primer Color,Topcoat Color,Topcoat Last Used,Ambient Humidity,Ambient Temperature,Paint Temperature,Paint Pressure,Electrical Resistivity,Paint Viscosity,Basecoat Humidity,Basecoat Temperature,Clearcoat Humidity,Clearcoat Temperature,Engine Run Number,Primer Applied,Dust Defect
VNH6L60720,BLR,MK01,BK16,1.0,76.4202347,25.1491585,21.7999992,6.75955057,546.0,42.12,72.1919632,25.5642052,66.9033737,26.4623871,1,0,1
VNH6L60752,BLR,MK01,BK16,2.0,77.0298309,25.1167336,22.0,6.49887657,546.0,42.12,72.1919632,25.5966301,66.773674,26.5272408,1,0,1
VNH6L60750,BLR,MK01,BK16,2.0,77.0622559,25.1491585,22.2000008,6.53258419,546.0,42.12,72.1595383,25.5642052,66.6147919,26.5596657,1,0,1
VNH6L60628,BLR,MK01,BK16,1.0,77.2535706,25.1491585,22.2999992,6.48539352,546.0,42.12,72.1595383,25.5642052,66.5175095,26.5596657,1,0,0
ARH6L58998,LTV,MK01,BK16,3.0,77.2535706,25.1815834,22.6000004,6.52359581,546.0,42.12,72.0298309,25.7587547,66.6796417,26.494812,1,0,0
ARH6L58895,LTV,MK01,BK16,2.0,77.3508453,25.2140083,22.7999992,6.71460676,546.0,42.12,71.997406,25.7587547,66.997406,26.4299622,1,0,0
VNH6L60494,BLR,MK01,BK16,2.0,77.4773026,25.0843086,23.0,6.51460695,546.0,42.12,72.0946884,25.5642052,67.0622559,26.3326874,1,0,0
ARH6L59004,LTV,MK01,BK16,2.0,77.574585,25.019455,23.2000008,6.63595533,546.0,42.12,72.1919632,25.5642052,67.2535706,26.27108,1,0,0
VNH6L60478,BLR,MK01,BK16,2.0,78.7256851,24.9546051,23.1000004,6.6561799,546.0,42.12,72.9604416,25.4053192,67.4481201,26.2062263,1,0,0
VNH6L60544,BLR,MK01,BK16,11.0,79.3352814,24.6984444,22.3999996,6.6112361,546.0,42.12,73.0869064,25.3404694,68.0869064,26.0765266,1,0,0
VNH6L60449,BLR,MK01,BK16,4.0,79.497406,24.6984444,22.7000008,6.48988771,546.0,42.12,73.1841812,25.4701691,68.2490311,26.1089516,2,0,0
VNH6L60643,BLR,MK01,BK16,2.0,79.4001312,24.7308693,22.8999996,6.56629229,546.0,42.12,72.8307419,25.629055,68.281456,26.1413765,1,0,0
ARH6L58920,LTV,MK01,BK16,1.0,82.282753,24.3806763,23.1000004,6.8224721,546.0,42.12,73.3430634,25.3404694,68.1841812,26.1738014,1,0,0
